policy,fp_target,recall_margin,fp_target_met,recall_margin_met
reference_detector,0.1,0.0,False,True
reference_detector,0.1,0.001,False,True
reference_detector,0.1,0.005,False,True
reference_detector,0.1,0.01,False,True
reference_detector,0.1,0.02,False,True
reference_detector,0.1,0.05,False,True
reference_detector,0.2,0.0,False,True
reference_detector,0.2,0.001,False,True
reference_detector,0.2,0.005,False,True
reference_detector,0.2,0.01,False,True
reference_detector,0.2,0.02,False,True
reference_detector,0.2,0.05,False,True
reference_detector,0.3,0.0,False,True
reference_detector,0.3,0.001,False,True
reference_detector,0.3,0.005,False,True
reference_detector,0.3,0.01,False,True
reference_detector,0.3,0.02,False,True
reference_detector,0.3,0.05,False,True
reference_detector,0.4,0.0,False,True
reference_detector,0.4,0.001,False,True
reference_detector,0.4,0.005,False,True
reference_detector,0.4,0.01,False,True
reference_detector,0.4,0.02,False,True
reference_detector,0.4,0.05,False,True
reference_detector,0.5,0.0,False,True
reference_detector,0.5,0.001,False,True
reference_detector,0.5,0.005,False,True
reference_detector,0.5,0.01,False,True
reference_detector,0.5,0.02,False,True
reference_detector,0.5,0.05,False,True
symbolic,0.1,0.0,True,False
symbolic,0.1,0.001,True,False
symbolic,0.1,0.005,True,False
symbolic,0.1,0.01,True,False
symbolic,0.1,0.02,True,False
symbolic,0.1,0.05,True,False
symbolic,0.2,0.0,True,False
symbolic,0.2,0.001,True,False
symbolic,0.2,0.005,True,False
symbolic,0.2,0.01,True,False
symbolic,0.2,0.02,True,False
symbolic,0.2,0.05,True,False
symbolic,0.3,0.0,True,False
symbolic,0.3,0.001,True,False
symbolic,0.3,0.005,True,False
symbolic,0.3,0.01,True,False
symbolic,0.3,0.02,True,False
symbolic,0.3,0.05,True,False
symbolic,0.4,0.0,True,False
symbolic,0.4,0.001,True,False
symbolic,0.4,0.005,True,False
symbolic,0.4,0.01,True,False
symbolic,0.4,0.02,True,False
symbolic,0.4,0.05,True,False
symbolic,0.5,0.0,False,False
symbolic,0.5,0.001,False,False
symbolic,0.5,0.005,False,False
symbolic,0.5,0.01,False,False
symbolic,0.5,0.02,False,False
symbolic,0.5,0.05,False,False
development_score_filter,0.1,0.0,True,False
development_score_filter,0.1,0.001,True,False
development_score_filter,0.1,0.005,True,False
development_score_filter,0.1,0.01,True,False
development_score_filter,0.1,0.02,True,False
development_score_filter,0.1,0.05,True,False
development_score_filter,0.2,0.0,True,False
development_score_filter,0.2,0.001,True,False
development_score_filter,0.2,0.005,True,False
development_score_filter,0.2,0.01,True,False
development_score_filter,0.2,0.02,True,False
development_score_filter,0.2,0.05,True,False
development_score_filter,0.3,0.0,True,False
development_score_filter,0.3,0.001,True,False
development_score_filter,0.3,0.005,True,False
development_score_filter,0.3,0.01,True,False
development_score_filter,0.3,0.02,True,False
development_score_filter,0.3,0.05,True,False
development_score_filter,0.4,0.0,True,False
development_score_filter,0.4,0.001,True,False
development_score_filter,0.4,0.005,True,False
development_score_filter,0.4,0.01,True,False
development_score_filter,0.4,0.02,True,False
development_score_filter,0.4,0.05,True,False
development_score_filter,0.5,0.0,True,False
development_score_filter,0.5,0.001,True,False
development_score_filter,0.5,0.005,True,False
development_score_filter,0.5,0.01,True,False
development_score_filter,0.5,0.02,True,False
development_score_filter,0.5,0.05,True,False
development_detector,0.1,0.0,False,True
development_detector,0.1,0.001,False,True
development_detector,0.1,0.005,False,True
development_detector,0.1,0.01,False,True
development_detector,0.1,0.02,False,True
development_detector,0.1,0.05,False,True
development_detector,0.2,0.0,False,True
development_detector,0.2,0.001,False,True
development_detector,0.2,0.005,False,True
development_detector,0.2,0.01,False,True
development_detector,0.2,0.02,False,True
development_detector,0.2,0.05,False,True
development_detector,0.3,0.0,False,True
development_detector,0.3,0.001,False,True
development_detector,0.3,0.005,False,True
development_detector,0.3,0.01,False,True
development_detector,0.3,0.02,False,True
development_detector,0.3,0.05,False,True
development_detector,0.4,0.0,False,True
development_detector,0.4,0.001,False,True
development_detector,0.4,0.005,False,True
development_detector,0.4,0.01,False,True
development_detector,0.4,0.02,False,True
development_detector,0.4,0.05,False,True
development_detector,0.5,0.0,False,True
development_detector,0.5,0.001,False,True
development_detector,0.5,0.005,False,True
development_detector,0.5,0.01,False,True
development_detector,0.5,0.02,False,True
development_detector,0.5,0.05,False,True
development_detector_plus_symbolic,0.1,0.0,True,False
development_detector_plus_symbolic,0.1,0.001,True,False
development_detector_plus_symbolic,0.1,0.005,True,False
development_detector_plus_symbolic,0.1,0.01,True,False
development_detector_plus_symbolic,0.1,0.02,True,False
development_detector_plus_symbolic,0.1,0.05,True,False
development_detector_plus_symbolic,0.2,0.0,True,False
development_detector_plus_symbolic,0.2,0.001,True,False
development_detector_plus_symbolic,0.2,0.005,True,False
